Key,EN,RU
mainTitle,"Make money <br> on staking with DEXART <br> <span class=""introContainer__selectedText"">up to 24%  yearly</span>","Зарабатывайте <br> на стейкинге с DEXART <br> <span class=""introContainer__selectedText"">до 24% годовых</span>"
"Выбирайте пакеты токенов, чтобы получить максимальную выгоду, зарабатывать и поддерживать эко-систему DEXART Metaverse","Choose token packages to get maximum profit, make money and support DEXART metaverse ecosystem","Выбирайте пакеты токенов, чтобы получить максимальную выгоду, зарабатывать и поддерживать эко-систему DEXART Metaverse"
packetsDxaTokens,"Packages <br> <span class=""buyDxaContainer__selectedText"">of DXA tokens</span>","Пакеты <br> <span class=""buyDxaContainer__selectedText"">DXA токенов</span>"
Выберите пакеты и их количество,Choose packages and quantity,Выберите пакеты и их количество
Ваш выбор,Your pick,Ваш выбор
Всего токенов,Total tokens,Всего токенов
Стоимость,Total ,Стоимость
Бонусов,Bonuses,Бонусов
Купить,Buy,Купить
Стейкинг,Staking,Стейкинг
stacking-info-1,After purchasing token packages you need to activate staking.,После покупки пакетов токенов вам нужно активировать стейкинг.
stacking-info-2,"""It is a more eco-friendly alternative to mining. You profit from holding your crypto assets – DXA tokens.""",Это более экологичная альтернатива майнингу. Вы зарабатываете на хранение своих криптоактивов — токенов DXA.
stacking-info-3,"Profitability of this investment can go up to 24%. The longer is staking, the more your reward.","Доходность от этой инвестиции может составить до 24% в год. Чем дольше период стейкинга, тем выше вознаграждение, которое вы получаете."
О токене,About token,О токене
"DXA — это внутренний платёжный токен, который используется для совершения сделок в метавселенной DEXART.","DXA is an internal payment token, that is used to make deals in DEXART metaverse.","DXA — это внутренний платёжный токен, который используется для совершения сделок в метавселенной DEXART."
dxa-tokens-about,"See the full DXA tokenomics presentation<a href=""#"" class=""link"">here</a>","C полной презентацией токеномики DXA можно ознакомиться <a href=""#"" class=""link"">здесь</a>"
about-token-info-title-1,How DXA is issued?,Как выпускается DXA?
about-token-info-title-2,How to spend DXA?,Как потратить DXA?
about-token-info-title-3,How DXA is created?,Как формируется DXA?
about-token-info-title-4,How DXA is burned?,Как сжигается DXA?
about-token-info-1-content-1,During staking,В процессе стейкинга
about-token-info-1-content-2,In game quests,В игровых квестах
about-token-info-1-content-3,In game lootboxes,В игровых лутбоксах
about-token-info-1-content-4,In DEX Farm - plant&earn,В игре DEX Farm - plant&earn
about-token-info-2-content-1,For purchases of in-game NFT objects,Покупки NFT-предметов в мире
about-token-info-2-content-2,In completion of daily quests,В прохождении daily-квестов
about-token-info-2-content-3,For rent of land parcels,На аренду земельных участков
about-token-info-2-content-4,For placing objects on your parcel,За размещение объектов на своем участке
about-token-info-2-content-5,Lead generation campaigns for brands,Кампании по лидогенерации для брендов
about-token-info-2-content-6,For upgrades of game accounts,На улучшения игровых аккаунтов
about-token-info-3-content-1,For DEXART affiliate program payouts,Выплаты по реферальной программе DEXART
about-token-info-3-content-2,For payouts in promo quests with brands,Выплаты в кросс-промо квестах с брендами
about-token-info-3-content-3,For payouts for completion of daily quests,Выплаты за прохождение daily-квестов
about-token-info-3-content-4,For aads plcement,Размещение рекламы
about-token-info-3-content-5,For rent payouts,Выплаты арендной платы
about-token-info-4-content-1,For commissions,На комиссиях
rodmap-text-1-1,Token sales launch,Cтарт продаж токена
rodmap-text-1-2,Staking launch,Запуск стейкинга
rodmap-text-2-1,Lootboxes sales start,Старт продаж лутбоксов
rodmap-text-2-2,Launch of quests on DEXARt world map,Запуск квестов на карте мира DEXART
rodmap-text-2-3,Launch of DEX Farm - plant&earn game,Запуск игры DEX Farm - plant&earn
rodmap-text-2-4,Launch of marketplace,Запуск маркетплейса
rodmap-text-3-1,Launch of game mechanics in the GAMBLING district – DEXARt casino,Запуск игровых механик в районе GAMBLING – казино DEXART
rodmap-text-3-2,Launch of rent feature for parcels and spaces,Запуск функционала по аренде участков и пространств
rodmap-text-4-1,Payouts of copyright rewards,Выплаты авторских вознаграждений
rodmap-text-4-2,Holding world events,Проведение ивентов в мире
rodmap-text-4-3,Placing ads in the world,Размещение рекламы в мире
rodmap-text-5-1,Opening of DexArt 3D world,Открытие 3d мира DexArt
Ваш выбор,Your pick,Ваш выбор
Пакет,Package,Пакет
Всего токенов,Total tokens,Всего токенов
Бонусов,Bonuses,Бонусов
Стоимость,Total,Стоимость
Ваш email,Your email,Ваш email
Выберите метод оплаты,Choose payment method,Выберите метод оплаты
I have read and agree to the,I have read and agree to the,
Terms & Conditions,Terms & Conditions,
Банковской картой,Bank card,Банковской картой
С криптокошелька,Crypto wallet,С криптокошелька
Купить токен,Purchase token,Купить токен
Дорожная карта,Roadmap,Дорожная карта
Info,Info,
Privacy Policy,Privacy Policy,
Cookies Policy,Cookies Policy,
Term of service,Term of service,
Legal information,Legal information,
Disclaimer,Disclaimer,
Avatar design tool,Avatar design tool,
Avatar design tool,Avatar design tool,
World backstory,World backstory,
Token,Token,
Sitemap,Sitemap,
Follow DEXART,Follow DEXART,
Subscribe to the newsletter of the most important news,Subscribe to the newsletter of the most important news,
Sign Up,Sign Up,
